i'm just curious	je suis juste curieuse
send me a new catalog	envoyez moi un nouveau catalogue
i was born in kyoto	je suis ne a kyoto
it's too hot	il fait trop chaud
i found the book easy	je trouvais le livre facile
tom was sobbing	tom sanglotait
that was the basic idea	c'etait l'idee de base
tom twisted my arm	tom m'a tordu le bras
i've checked	j'ai verifie
i've got to leave soon	je dois bientot partir
be polite to your parents	soyez polie avec vos parents
that was really important	c'etait tres important
he was supposed to come	il etait suppose venir
tom wants to be rich	tom veut etre riche
it works pretty well here	ca fonctionne assez bien ici
don't be afraid	n'aie pas peur !
someone broke the window	quelqu'un a brise la vitre
i forgot my scarf	j'ai oublie mon cache nez
i haven't got a chance	je n'ai aucune chance
we waited	nous attendimes
it is really cheap	c'est vraiment bon marche
i'll be back right away	je reviens de suite
don't use his real name	n'utilisez pas son vrai nom
i drive everywhere	je roule partout
i don't like your friends	je n'apprecie pas tes amies
stay very still	reste bien tranquille !
it looks familiar	ca a l'air familier
choose one person	choisis une personne
i love summer	j'adore l'ete
they hated each other	ils se detestaient
i had a vision	j'ai eu une vision
the light came on suddenly	la lumiere est soudain apparue
they admired the lovely scenery	ils admirerent le charmant paysage
he didn't say anything	il n'a rien dit
someone spiked her drink	quelqu'un a charge sa boisson
i appreciate all your help	j'apprecie toute ton aide
tom abandoned that idea	tom abandonna cette idee
i'm not hurt	je ne suis pas blessee
i'd do it again	je le referais
we must be cautious	il nous faut etre prudents
the room is hot	la piece est brulante
what did you buy ?	qu'avez vous achete ?
she is knitting a sweater	elle tricote un chandail
please air the futon	veuillez aerer le futon !
the lecture started on schedule	le cours commenca a l'heure
it will grow back	ca repoussera
he counts fast	il compte vite
i believe it	je le crois
i have lost my camera	j'ai perdu mon appareil photo
i was cleaning	j'etais en train de nettoyer
get away from me	lache moi !
did he go there ?	y est il alle ?
you could've died	tu aurais pu mourir
it was extremely funny	ce fut extremement amusant
i'm going back to college	je retourne en fac
this is a big project	c'est un gros projet
she's a powerful witch	c'est une puissante sorciere
i feel lost	je me sens perdu
they are well looked after	on s'occupe bien d'eux
it won't stop raining	il pleut sans arret
tom wouldn't say yes	tom n'accepterait pas
this is not a tiger	ce n'est pas un tigre
that's a very difficult question	cette question est tres difficile
i'm really busy	je suis vraiment occupee
i'm retired	je suis retraite
you look very good	tu as l'air tres bien
it's kind of important	c'est plutot important
he's so young	il est tellement jeune
come down here	descends ici !
you're productive	vous etes productif
tom should have paid mary	tom aurait du payer marie
please sign this receipt	veuillez signer ce recu !
i begin this afternoon	je commence cette apres midi
he's my age	il a mon age
why are you flinching ?	pourquoi vous derobez vous ?
who saw me ?	qui m'a vu ?
i heard him go out	je l'entendis sortir
he interpreted for me	il interpreta pour moi
you're all happy	vous etes tous contents
how was your walk ?	comment etait ta promenade ?
everybody loves it	tout le monde adore ca
where are your things ?	ou sont tes affaires ?
no one was present	personne n'etait present
tom seems sincere	tom semble sincere
he asked for a beer	il reclama une biere
i have to try	il me faut essayer
how tall is he ?	quelle est sa taille ?
tom is important	tom est important
that's a strange question	c'est une drole de question
are you on dope ?	es tu drogue ?
he lied to me	il m'a menti
they agreed on a price	elles s'accorderent sur un prix
we respect them	nous les respectons
give me the book	donne moi ce livre
what is missing ?	que manque t il ?
have a safe journey	fais bon voyage !
you're not dressed	vous n'etes pas habillees
do you have paper ?	as tu du papier ?
this one is bigger	celui ci est plus gros
i admire her efforts	j'admire ses efforts
in case of fire dial	en cas d'incendie composez le
he's cleaning his rifle	il nettoie son fusil
nobody knew what to say	personne ne savait que dire
stop teasing me	arretez de me taquiner !
you're invited	vous etes invitee
forget it !	oubliez le !
tom really loves his country	tom aime vraiment son pays
it was obviously a joke	c'etait a l'evidence une plaisanterie
is it far ?	est ce eloigne ?
that's very touching	c est tres touchant
i had an asthma attack	j'ai eu une crise d'asthme
they're mad at you	ils sont furieux apres toi
i was detained	j'ai ete incarceree
it's not good enough	ce n'est pas assez bien
i'll wait here for you	je vais t'attendre ici
war concerns us all	la guerre nous concerne tous
i don't have any brothers	je n'ai pas de freres
this is devastating	c'est accablant
the girls giggled	les filles poufferent
where shall we begin ?	ou devons nous commencer ?
look out for rock slides	attention aux chutes de pierres
the weather is very bad	il fait tres mauvais
you want this ?	voulez vous ceci ?
i like dogs very much	j'aime vraiment les chiens
i've forgotten my email address	j'ai oublie mon adresse mail
you're very forward	vous etes fort effrontee
he's ruthless	il est impitoyable
they all drank	ils burent tous
my car won't start	ma voiture ne demarre pas
he was covered with sweat	il etait couvert de sueur
you're not helping tom	tu n'aides pas tom
he is a writer	il est ecrivain
please come	viens s'il te plait
take a number	prenez un numero !
will it fit ?	cela s'adaptera t il ?
what're you doing ?	que fais tu ?
the budget must be balanced	le budget doit etre equilibre
she is good natured	elle est bienveillante
they will survive	ils survivront
that idea is ridiculous	cette idee est ridicule
i'd like another beer	je voudrais une autre biere
i want to apologize	je veux presenter mes excuses
she looked away terrified	elle detourna les yeux terrifiee
those flowers are beautiful	ces fleurs sont belles
these are the rules	telles sont les regles
i want to see him	je veux le voir
tom must've seen it	tom aurait du voir ca
he owes me one	il m'en doit une
do you want wine ?	veux tu du vin ?
tom sealed the room	tom ferma la salle
it worked	ca a fonctionne
now i understand everything	maintenant je comprends tout
nobody called tom	personne n'a appele tom
they were put in prison	ils furent mis en prison
you don't impress me	tu ne m impressionne pas
she married him	elle l'epousa
everybody likes you	tout le monde vous apprecie
he admitted his defeat	il a admis sa defaite
my father runs a restaurant	mon pere gere un restaurant
you should be more careful	vous devriez etre plus prudent
i want him to leave	je veux qu'il s'en aille
i'll examine it for myself	je l'examinerai moi meme
this made me very sad	cela m'a rendu tres triste
we played on the beach	nous jouames sur la plage
i like it very much	je l'aime beaucoup
nobody likes rats	personne n'apprecie les rats
i screamed	j'ai crie
tell me about it	parlez moi de cela
i do that sometimes	je le fais parfois
what's his name ?	quel est son nom ?
i felt the same way	j'ai ressenti la meme chose
that is an old camera	c'est un vieil appareil photo
i'm glad to hear that	c'est bien
i must go alone	je dois m'y rendre seul
i am almost ready	je suis presque prete
speak a little louder	parle un tantinet plus fort
where are the showers ?	ou sont les douches ?
that's not fair	c'est injuste
we're closing early	nous fermons tot
how much is it ?	ca coute combien ?
do you work here ?	travaillez vous ici ?
she has brown eyes	elle a les yeux marron
light the candles	allume les bougies !
it's a travesty	c'est une parodie
tom lost	tom a perdu
we lost	nous avons perdu
the deadlock was inevitable	cette impasse etait une fatalite
my father was a teacher	mon pere etait enseignant
it affects all of us	ca affecte l'ensemble d'entre nous
let me go !	laisse moi m'en aller !
we're finished here	nous en avons fini ici
what time is it ?	quelle heure est il ?
here comes the bus	le bus arrive
here we are !	nous voila !
come along with me	viens avec moi
we were very tired	nous etions tres fatiguees
how is the weather ?	quel temps fait il ?
tom really cares about you	tom tient vraiment a toi
he caught a big one	il en captura un gros
he took off his overcoat	il retira son pardessus
you're charming	tu es charmante
it happened here	ca s'est passe ici
you're very resourceful	vous etes pleine de ressources
i looked down	je baissai les yeux
he returned to japan	il retourna au japon
i believed you	je t'ai cru
we were impressed	nous avons ete impressionnees
please telephone him	telephone lui je te prie
i'm considering resigning	je reflechis a demissionner
tom speaks two foreign languages	tom parle deux langues etrangeres
they don't have one	elles n'en ont pas
i'm wealthy	je suis fortune
i was tired today	j'etais fatiguee aujourd'hui
i love winning	j'adore avoir le dessus
just don't forget this	n'oubliez juste pas cela
i think that helps	je pense que ca aide
you must be cautious	il vous faut etre prudente
you're all set	vous etes tous prets
what's the secret ingredient ?	quel est l'ingredient secret ?
i'll lend it to you	je vais te la preter
i'd buy that	je le goberais
his nose bled	il saignait du nez
close that door	fermez cette porte !
i came yesterday	je suis venue hier
they had several children	ils eurent plusieurs enfants
that was really difficult	ca a ete vraiment difficile
my hair is getting long	mes cheveux deviennent longs
they are five in all	ils sont cinq en tout
i called them	je les ai appeles
we made sacrifices	nous avons fait des sacrifices
you're all mine	vous etes toutes a moi
tom has no insurance	tom n'a pas d'assurance
he's hopelessly in love	il est desesperement amoureux
he's a short order cook	il cuisine a la demande
he shook hands with me	il m'a serre la main
be merciful	soyez misericordieux !
he got the job	il eut le poste
i'm having fun	je m'amuse
we tried them all	nous les avons tous essayes
the curse was broken	la malediction a ete brisee
is this legal ?	est ce legal ?
is that a fact ?	s'agit il d'un fait ?
no pain no gain	on n'a rien sans rien
breakfast is served	le petit dejeuner est servi
he's open minded	il a l'esprit ouvert
would you excuse me ?	voudriez vous m'excuser ?
black suits you	le noir te va bien
do you eat fish ?	mangez vous du poisson ?
i study french at home	j'etudie le francais chez moi
the mistakes are mine	au temps pour moi
i have a sister	j'ai une s ur
you are absolutely right	vous avez parfaitement raison
run for it !	file !
you're all mine	vous etes tous a moi
are you in danger ?	es tu en danger ?
can you forgive me ?	pouvez vous me pardonner ?
welcome to our home	bienvenue dans notre maison
that's a good point	c'est une bonne remarque
i hate this place	je deteste cet endroit
she's a model	elle est mannequin
tom likes cheese	tom aime le fromage
